Issue Type,Epic Name,Epic Link,Parent ID,Summary,Description,Project,Labels
Epic,SALESPRO,,,Sales Project: Automated Lead Nurturing & Task Management,"This project uses Salesforce Flow to automate the lead nurturing process, ensuring sales reps are guided with a clear path to follow up on leads and prospects based on their engagement.",Salesforce Declarative Projects,"Sales,Flow,Automation"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,Conduct stakeholder interviews with Sales Managers and Sales Reps.,Conduct stakeholder interviews with Sales Managers and Sales Reps.,Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,"Document the current manual lead follow-up process, including pain points.","Document the current manual lead follow-up process, including pain points.",Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,"Define the entire lead lifecycle, from `New` to `Qualified` or `Unqualified`.","Define the entire lead lifecycle, from `New` to `Qualified` or `Unqualified`.",Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,Define the criteria for lead qualification and disqualification.,Define the criteria for lead qualification and disqualification.,Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,"Map out the automated lead nurturing journey, including touchpoints and timing (e.g., Day 1, Day 3, Day 7).","Map out the automated lead nurturing journey, including touchpoints and timing (e.g., Day 1, Day 3, Day 7).",Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,"Define the automated follow-up tasks to be created for Sales Reps (e.g., ""Call Lead,"" ""Send a Personalized Email"").","Define the automated follow-up tasks to be created for Sales Reps (e.g., ""Call Lead,"" ""Send a Personalized Email"").",Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,Define the criteria for marking a lead as `Inactive` or `Disqualified`.,Define the criteria for marking a lead as `Inactive` or `Disqualified`.,Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,Define the conditions for escalating a high-value lead to a Sales Manager.,Define the conditions for escalating a high-value lead to a Sales Manager.,Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,"Draft all required email templates for automated sending (e.g., intro email, value proposition email).","Draft all required email templates for automated sending (e.g., intro email, value proposition email).",Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,"Define the required custom fields on the `Lead` object (e.g., `Last_Engagement_Date__c`, `Last_Follow_Up_Date__c`).","Define the required custom fields on the `Lead` object (e.g., `Last_Engagement_Date__c`, `Last_Follow_Up_Date__c`).",Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,Define the required custom fields on the `Contact` and `Account` objects.,Define the required custom fields on the `Contact` and `Account` objects.,Salesforce Declarative Projects,"Discovery,Sales"
Story,,SALESPRO,Automated Lead Nurturing & Task Management,Research and select an email provider for sending.,Research and select an email provider for sending.,Salesforce Declarative Projects,"Discovery,Sales"
