Issue Type,Epic Name,Epic Link,Parent ID,Summary,Description,Project,Labels
Epic,MRKTPRO,,,Automated Campaign Engagement & Segmentation - Dec,"This project leverages Flows and custom fields to automate the process of adding/removing campaign members, segmenting contacts, and triggering follow-up actions based on campaign responses.",Salesforce Declarative Projects,"Marketing,Flow,Automation"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Conduct stakeholder interviews with the Marketing and Sales teams.,Conduct stakeholder interviews with the Marketing and Sales teams.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Document the current manual campaign management process, including pain points.","Document the current manual campaign management process, including pain points.",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Define campaign types (e.g., `Webinar`, `Email`, `Tradeshow`).","Define campaign types (e.g., `Webinar`, `Email`, `Tradeshow`).",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Define all possible `Campaign Member` status values (e.g., `Registered`, `Attended`, `Responded`, `Opted Out`).","Define all possible `Campaign Member` status values (e.g., `Registered`, `Attended`, `Responded`, `Opted Out`).",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Map out the automated actions for each `Campaign Member` status change (e.g., `Attended` -> update `Contact` field, create `Task`).","Map out the automated actions for each `Campaign Member` status change (e.g., `Attended` -> update `Contact` field, create `Task`).",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Define the criteria for audience segmentation (e.g., by industry, lead source, last purchase date).","Define the criteria for audience segmentation (e.g., by industry, lead source, last purchase date).",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Define the required custom fields on the `Contact` object (e.g., `Industry__c`, `Last_Webinar_Attended__c`).","Define the required custom fields on the `Contact` object (e.g., `Industry__c`, `Last_Webinar_Attended__c`).",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Define the required custom fields on the `Campaign` object (e.g., `Campaign_Type__c`, `Target_Audience__c`).","Define the required custom fields on the `Campaign` object (e.g., `Campaign_Type__c`, `Target_Audience__c`).",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Create a process flow diagram for the `CampaignMember` Flow.,Create a process flow diagram for the `CampaignMember` Flow.,Salesforce Declarative Projects,"Discovery,Flow"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a custom metadata type to store segmentation rules and automated action logic.,Define a custom metadata type to store segmentation rules and automated action logic.,Salesforce Declarative Projects,"Discovery,CustomMetadata"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Create a wireframe for a `CampaignMember` record page, showing all new fields.","Create a wireframe for a `CampaignMember` record page, showing all new fields.",Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Draft all required email templates for automated sending.,Draft all required email templates for automated sending.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define the project timeline and key milestones.,Define the project timeline and key milestones.,Salesforce Declarative Projects,"Discovery,ProjectMgmt"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define reporting and dashboard requirements for Marketing Managers.,Define reporting and dashboard requirements for Marketing Managers.,Salesforce Declarative Projects,"Discovery,Reporting"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Draft a detailed test plan.,Draft a detailed test plan.,Salesforce Declarative Projects,"Discovery,Testing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define user profiles and permission sets.,Define user profiles and permission sets.,Salesforce Declarative Projects,"Discovery,Security"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Secure a sandbox for development and testing.,Secure a sandbox for development and testing.,Salesforce Declarative Projects,"Discovery,DevOps"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Create mock data for contacts and campaigns.,Create mock data for contacts and campaigns.,Salesforce Declarative Projects,"Discovery,Data"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a strategy for adding contacts to campaigns in a batch.,Define a strategy for adding contacts to campaigns in a batch.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define the logic for a `hot` prospect that requires immediate sales follow-up.,Define the logic for a `hot` prospect that requires immediate sales follow-up.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Document the training materials for end-users.,Document the training materials for end-users.,Salesforce Declarative Projects,"Discovery,Training"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Conduct a kickoff meeting with all team members.,Conduct a kickoff meeting with all team members.,Salesforce Declarative Projects,"Discovery,ProjectMgmt"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define the version control strategy.,Define the version control strategy.,Salesforce Declarative Projects,"Discovery,DevOps"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Set up a change set for deployment.,Set up a change set for deployment.,Salesforce Declarative Projects,"Discovery,DevOps"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Create a backout plan.,Create a backout plan.,Salesforce Declarative Projects,"Discovery,DevOps"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define the production support and maintenance strategy.,Define the production support and maintenance strategy.,Salesforce Declarative Projects,"Discovery,ProjectMgmt"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Finalize the required `Campaign Member` status values.,Finalize the required `Campaign Member` status values.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a strategy for retiring old campaign data.,Define a strategy for retiring old campaign data.,Salesforce Declarative Projects,"Discovery,Data"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Finalize the team roles and responsibilities.,Finalize the team roles and responsibilities.,Salesforce Declarative Projects,"Discovery,ProjectMgmt"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Prepare a communication plan for updates to the marketing team.,Prepare a communication plan for updates to the marketing team.,Salesforce Declarative Projects,"Discovery,ProjectMgmt"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a `Roll-Up Summary Field` on `Campaign` to show total members.,Define a `Roll-Up Summary Field` on `Campaign` to show total members.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a `Roll-Up Summary Field` on `Campaign` to show total `Responded` members.,Define a `Roll-Up Summary Field` on `Campaign` to show total `Responded` members.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a strategy for a `Campaign` to automatically close after a certain date.,Define a strategy for a `Campaign` to automatically close after a certain date.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a `Validation Rule` to ensure `Target_Audience__c` is populated on new campaigns.,Define a `Validation Rule` to ensure `Target_Audience__c` is populated on new campaigns.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,"Define the process for integrating external systems (e.g., webinar platform) with Salesforce.","Define the process for integrating external systems (e.g., webinar platform) with Salesforce.",Salesforce Declarative Projects,"Discovery,Integration"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a `Flow` to automatically update `Contact` records based on external data syncs.,Define a `Flow` to automatically update `Contact` records based on external data syncs.,Salesforce Declarative Projects,"Discovery,Flow"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define `Dynamic Form` components for the `Campaign` record page.,Define `Dynamic Form` components for the `Campaign` record page.,Salesforce Declarative Projects,"Discovery,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define a `Flow` that creates a new campaign if a user fills out a lead form.,Define a `Flow` that creates a new campaign if a user fills out a lead form.,Salesforce Declarative Projects,"Discovery,Flow"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Define the `Campaign` influence and attribution reporting requirements.,Define the `Campaign` influence and attribution reporting requirements.,Salesforce Declarative Projects,"Discovery,Reporting"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Create the `Contact` custom fields as defined in the discovery phase.,Create the `Contact` custom fields as defined in the discovery phase.,Salesforce Declarative Projects,"Implementation,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Create the `Campaign` custom fields.,Create the `Campaign` custom fields.,Salesforce Declarative Projects,"Implementation,Marketing"
Task,,MRKTPRO,Automated Campaign Engagement & Segmentation,Create the `CampaignMember` custom fields.,Create the `CampaignMember` custom fields.,Salesforce Declarative Projects,"Implementation,Marketing"
