Issue Type,Epic Name,Epic Link,Parent ID,Summary,Description,Project,Labels
Epic,FSDO,,,Real-Time Field Service Dispatch Optimization,"This project automates the dispatch of field service technicians based on real-time location, skill set, and workload. It requires complex logic and external data integration.",Salesforce Projects,"Salesforce,FieldService"
Task,,FSDO,Field Service Dispatch Optimization,"Conduct stakeholder interviews with Service Managers, Dispatchers, and Field Technicians.","Conduct stakeholder interviews with Service Managers, Dispatchers, and Field Technicians.",Salesforce Projects,"Discovery,FieldService"
Task,,FSDO,Field Service Dispatch Optimization,"Document existing manual dispatch process, including pain points.","Document existing manual dispatch process, including pain points.",Salesforce Projects,"Discovery,FieldService"
Task,,FSDO,Field Service Dispatch Optimization,Define all required data points from external systems.,"Define all required data points from external systems (technician locations, traffic data, technician skill certifications).",Salesforce Projects,"Discovery,FieldService,Integration"
Task,,FSDO,Field Service Dispatch Optimization,Define business rules for optimal dispatching.,"Define business rules for optimal dispatching (e.g., distance, skill match, current workload, SLA).",Salesforce Projects,"Discovery,FieldService"
Task,,FSDO,Field Service Dispatch Optimization,Create a process flow diagram for the new automated dispatch system.,"Use a diagramming tool to visually map out the flow. Start with a Work Order record being created/updated, a Platform Event being published, an Apex class processing the event, external API callouts, and finally the Work Order being assigned.",Salesforce Projects,"Discovery,FieldService"
Task,,FSDO,Field Service Dispatch Optimization,Research and select a real-time geo-location API service.,"Investigate providers like Google Maps API, Here API, or Mapbox. Evaluate them based on cost, reliability, and ease of integration.",Salesforce Projects,"Discovery,FieldService,Integration"
Task,,FSDO,Field Service Dispatch Optimization,Research and select a real-time traffic data API service.,"Often, geo-location APIs include traffic data. If not, research dedicated services that can provide real-time traffic conditions.",Salesforce Projects,"Discovery,FieldService,Integration"
Task,,FSDO,Field Service Dispatch Optimization,Finalize the required custom objects.,"In Setup, create these custom objects and define their fields (e.g., `Technician_Location__c` needs `Latitude__c` and `Longitude__c`).",Salesforce Projects,"Implementation,Salesforce"
Task,,FSDO,Field Service Dispatch Optimization,Finalize all required custom fields on the `Work Order` object.,"Create fields like `Dispatch_Score__c`, `Is_Automated_Dispatch__c`, and a lookup field to `Service Resource` for the assigned technician.",Salesforce Projects,"Implementation,Salesforce"
Task,,FSDO,Field Service Dispatch Optimization,Finalize all required custom fields on the `Service Resource` object.,"Add fields to store skill sets (e.g., a multi-select picklist or a junction object) and a real-time status field.",Salesforce Projects,"Implementation,Salesforce"
Task,,FSDO,Field Service Dispatch Optimization,Define a custom metadata type to store geo-location API credentials.,Use Custom Metadata Types to securely store API keys and endpoints without hardcoding them.,Salesforce Projects,"Implementation,Salesforce"
